Categoria,Marca,Modelo,Especificaciones,Precio_CLP,Stock
Placa_Madre,Hp,"Cargador De Notebook 4,5mm 65w Inteligente Hp 220v Negro","Cargador De Notebook 4,5mm 65w Inteligente Hp 220v Negro",17149,Alta
Placa_Madre,Generac,Gabinete De Computadora Ds900 Atx De Vidrio Templado Negro,Gabinete De Computadora Ds900 Atx De Vidrio Templado Negro,63990,Alta
Placa_Madre,Clio,Gabinete Clio Slim Cl-s613 Con Fuente De Poder 600w,Gabinete Clio Slim Cl-s613 Con Fuente De Poder 600w,75900,Alta
Placa_Madre,Clio,Gabinete Slim Clio Cl-s605 Full Con Fuente De Poder 500w,Gabinete Slim Clio Cl-s605 Full Con Fuente De Poder 500w,65900,Alta
Memoria_RAM,Corsair,"Memoria Ram Corsair Vengeance Rgb Black, Ddr5, 8gb, 5200mt/s","Memoria Ram Corsair Vengeance Rgb Black, Ddr5, 8gb, 5200mt/s",134990,Alta
Memoria_RAM,Kingston,Memoria RAM DDR5 8GB 6000 MHz Fury Beast Black EXPO UDIMM,Memoria RAM DDR5 8GB 6000 MHz Fury Beast Black EXPO UDIMM,169990,Alta
Memoria_RAM,,Dimm 16 Gb - Ddr5 6000 Mhz - Xpg Lancer Blade White,Dimm 16 Gb - Ddr5 6000 Mhz - Xpg Lancer Blade White,249990,Alta
Memoria_RAM,Corsair,Memorias Ram Corsair Vengeance Rgb 32gb Ddr5-6400,Memorias Ram Corsair Vengeance Rgb 32gb Ddr5-6400,699990,Alta
Memoria_RAM,Kingston,Memoria RAM 8GB DDR4 3200MHz DIMM CL22 Non-ECC 1.2V 288p - Kingston,Memoria RAM 8GB DDR4 3200MHz DIMM CL22 Non-ECC 1.2V 288p - Kingston,71990,Alta
Memoria_RAM,Corsair,Memoria RAM 8GB DDR4 3200MHz DIMM CL16 Non-ECC 1.35v 288p Corsair Vengeance LPX,Memoria RAM 8GB DDR4 3200MHz DIMM CL16 Non-ECC 1.35v 288p Corsair Vengeance LPX,78990,Alta
Memoria_RAM,Crucial,Memoria RAM 8GB DDR4 3200MHz DIMM CL22 Non-ECC 1.2V 288p - Crucial,Memoria RAM 8GB DDR4 3200MHz DIMM CL22 Non-ECC 1.2V 288p - Crucial,69990,Alta
Memoria_RAM,Crucial,Memoria RAM 32GB DDR4 3200MHz SO-DIMM CL22 No-ECC 1.2V 260p - Crucial,Memoria RAM 32GB DDR4 3200MHz SO-DIMM CL22 No-ECC 1.2V 260p - Crucial,279990,Alta
Memoria_RAM,Kingston,Memoria Ram Kingston 32 Gb 5600mhz Ddr5 Sodimm,Memoria Ram Kingston 32 Gb 5600mhz Ddr5 Sodimm,289980,Alta
Memoria_RAM,Samsung,Memoria Ram Samsung 16gb Ddr4 Pc4-21300 2666mhz Pc Escritori,Memoria Ram Samsung 16gb Ddr4 Pc4-21300 2666mhz Pc Escritori,134990,Alta
Memoria_RAM,Kingston,Memoria Ram Ddr4-3200 8gb Kingston Kvr32s22s8/8 Notebook,Memoria Ram Ddr4-3200 8gb Kingston Kvr32s22s8/8 Notebook,74990,Alta
Memoria_RAM,,Kingston Fury Ram 8gb 3200mhz Ddr4 Dimm Beast Black,Kingston Fury Ram 8gb 3200mhz Ddr4 Dimm Beast Black,131900,Alta
Memoria_RAM,Kingston,MEMORIA RAM 8GB 3200MHZ DDR4 CL16 DIMM FURY BEAST BLACK,KINGSTON MEMORIA RAM 8GB 3200MHZ DDR4 CL16 DIMM FURY BEAST BLACK,84990,Alta
Memoria_RAM,Memoria Ram Ddr3 8Gb 1333 1600 1866Mhz Con Dicipador,Memoria Ram Ddr3 8gb 1333 1600 1866mhz Con Dicipador,Memoria Ram Ddr3 8gb 1333 1600 1866mhz Con Dicipador,49990,Alta
Memoria_RAM,,Memoria RAM 2GB 1 SK hynix HMT325U6CFR8C-H9,Memoria RAM 2GB 1 SK hynix HMT325U6CFR8C-H9,105449,Alta
Almacenamiento,Toshiba,Disco Duro Externo Toshiba 1TB Canvio Basics A5,Disco Duro Externo Toshiba 1TB Canvio Basics A5,62990,Alta
Almacenamiento,Toshiba,Disco Duro Externo Toshiba 2TB Canvio Basics A5,Disco Duro Externo Toshiba 2TB Canvio Basics A5,86990,Alta
Almacenamiento,Kingston,Unidad SSD Kingston NV3 500GB M.2 2230 PCIe 4.0 NVMe,Unidad SSD Kingston NV3 500GB M.2 2230 PCIe 4.0 NVMe,79990,Alta
Almacenamiento,Hp,Elite Usb-c Docking Station Dock 65w 710412-001 841575-001,Elite Usb-c Docking Station Dock 65w 710412-001 841575-001,61000,Alta
